route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
1024,3906A5310,159637A3906B5310,,33rd via Hoboken,1,,2,0
862,3528A4969,159257A3528B4969,,World Trade Center,1,,8,0
4768,3908A5283,573149A3908B5283,,Journal Square,0,,1,0
1024,3907A5310,159510A3907B5310,,Journal Square via Hoboken,0,,4,0
859,3528A4969,158420A3528B4969,,Hoboken,0,,7,0
860,3893A5283,572501A3893B5283,,World Trade Center,1,,10,0
861,3528A4969,160233A3528B4969,,Journal Square,0,,6,0
860,3528A4969,158668A3528B4969,,Hoboken,0,,3,0
4768,3893A5283,573031A3893B5283,,Journal Square,0,,1,0
1024,3907A5292,159481A3907B5292,,Journal Square via Hoboken,0,,4,0
1024,3906A5310,159617A3906B5310,,33rd via Hoboken,1,,2,0
861,3528A4969,160281A3528B4969,,Journal Square,0,,6,0
862,3528A4969,159217A3528B4969,,World Trade Center,1,,8,0
862,3530A4969,602511A3530B4969,,Newark,0,,9,0
862,3530A4969,602488A3530B4969,,Newark,0,,9,0
1024,3906A5310,159654A3906B5310,,33rd via Hoboken,1,,2,0
862,3528A4969,159108A3528B4969,,Newark,0,,9,0
860,3908A5283,572607A3908B5283,,World Trade Center,1,,10,0
1024,3907A5293,159382A3907B5293,,33rd via Hoboken,1,,2,0
860,3893A5283,572467A3893B5283,,World Trade Center,1,,10,0
1024,3906A5292,159722A3906B5292,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159270A3528B4969,,World Trade Center,1,,8,0
859,3528A4969,158424A3528B4969,,Hoboken,0,,7,0
859,3528A4969,158302A3528B4969,,33rd Street,1,,11,0
1024,3906A5292,159692A3906B5292,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159275A3528B4969,,World Trade Center,1,,8,0
1024,3906A5310,159602A3906B5310,,33rd via Hoboken,1,,2,0
860,3528A4969,158716A3528B4969,,Hoboken,0,,3,0
1024,3906A5310,159704A3906B5310,,Journal Square via Hoboken,0,,4,0
859,3528A4969,158441A3528B4969,,Hoboken,0,,7,0
4768,3894A5283,573107A3894B5283,,Journal Square,0,,1,0
1024,3906A5310,159749A3906B5310,,Journal Square via Hoboken,0,,4,0
859,3528A4969,158270A3528B4969,,33rd Street,1,,11,0
860,3528A4969,158697A3528B4969,,Hoboken,0,,3,0
1024,3943A5293,160044A3943B5293,,Journal Square via Hoboken,0,,4,0
1024,3943A5293,160032A3943B5293,,33rd via Hoboken,1,,2,0
860,3893A5283,572463A3893B5283,,World Trade Center,1,,10,0
859,3528A4969,158336A3528B4969,,33rd Street,1,,11,0
861,3528A4969,160234A3528B4969,,Journal Square,0,,6,0
1024,3907A5292,159520A3907B5292,,Journal Square via Hoboken,0,,4,0
860,3894A5283,572570A3894B5283,,World Trade Center,1,,10,0
4768,3893A5283,573011A3893B5283,,Journal Square,0,,1,0
860,3894A5283,572542A3894B5283,,World Trade Center,1,,10,0
1024,3906A5293,159658A3906B5293,,33rd via Hoboken,1,,2,0
862,3529A4969,602444A3529B4969,,World Trade Center,1,,8,0
860,3893A5283,572508A3893B5283,,World Trade Center,1,,10,0
1024,3941A5283,582176A3941B5283,,33rd via Hoboken,1,,2,0
4768,3893A5283,573047A3893B5283,,Journal Square,0,,1,0
860,3893A5283,572667A3893B5283,,Hoboken,0,,3,0
1024,3906A5292,159705A3906B5292,,Journal Square via Hoboken,0,,4,0
1024,3943A5292,160035A3943B5292,,33rd via Hoboken,1,,2,0
4768,3894A5283,572910A3894B5283,,Hoboken,1,,12,0
4768,3893A5283,572817A3893B5283,,Hoboken,1,,12,0
1024,3907A5292,159530A3907B5292,,Journal Square via Hoboken,0,,4,0
860,3528A4969,158568A3528B4969,,World Trade Center,1,,10,0
4768,3894A5283,573074A3894B5283,,Journal Square,0,,1,0
862,3528A4969,159243A3528B4969,,World Trade Center,1,,8,0
862,3530A4969,602491A3530B4969,,Newark,0,,9,0
859,3528A4969,158320A3528B4969,,33rd Street,1,,11,0
859,3528A4969,158388A3528B4969,,Hoboken,0,,7,0
4768,3894A5283,573099A3894B5283,,Journal Square,0,,1,0
860,3528A4969,158565A3528B4969,,World Trade Center,1,,10,0
1024,3906A5292,159771A3906B5292,,Journal Square via Hoboken,0,,4,0
859,3528A4969,158314A3528B4969,,33rd Street,1,,11,0
860,3893A5283,572475A3893B5283,,World Trade Center,1,,10,0
860,3893A5283,572654A3893B5283,,Hoboken,0,,3,0
4768,3893A5283,572976A3893B5283,,Journal Square,0,,1,0
862,3528A4969,159002A3528B4969,,Newark,0,,9,0
1024,3906A5310,159583A3906B5310,,33rd via Hoboken,1,,2,0
860,3893A5283,572435A3893B5283,,World Trade Center,1,,10,0
1024,3941A5283,582204A3941B5283,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159193A3528B4969,,World Trade Center,1,,8,0
860,3893A5283,572623A3893B5283,,Hoboken,0,,3,0
1024,3907A5292,159517A3907B5292,,Journal Square via Hoboken,0,,4,0
4768,3893A5283,573001A3893B5283,,Journal Square,0,,1,0
860,3894A5283,572762A3894B5283,,Hoboken,0,,3,0
861,3528A4969,160077A3528B4969,,33rd Street,1,,5,0
862,3529A4969,602389A3529B4969,,Newark,0,,9,0
1024,3907A5292,159531A3907B5292,,Journal Square via Hoboken,0,,4,0
1024,3906A5310,159732A3906B5310,,Journal Square via Hoboken,0,,4,0
1024,3906A5293,159649A3906B5293,,33rd via Hoboken,1,,2,0
861,3528A4969,160190A3528B4969,,33rd Street,1,,5,0
860,3528A4969,158582A3528B4969,,World Trade Center,1,,10,0
